track_name,artists_name,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts
Running Up That Hill (A Deal With God),Kate Bush,0,1,3,0
Dream On,Aerosmith,0,0,0,0
Limbo,Freddie Dredd,0,1,0,2
Where Are You Now,"Lost Frequencies, Calum Scott",44,122,17,58
WORTH NOTHING,"Twisted, Oliver Tree",0,54,0,2
Bad Habits,Ed Sheeran,8,97,15,
KICK BACK,Kenshi Yonezu,4,101,0,0
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,0,0,0,0
Good Days,SZA,2,109,1,10
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",8,13,0,60
Woman,Doja Cat,0,50,4,
Shut up My Moms Calling - (Sped Up),Hotel Ugly,7,4,0,0
Ferrari,"James Hype, Miggy Dela Rosa",28,79,0,168
"You're On Your Own, Kid",Taylor Swift,2,18,0,1
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",6,98,0,0
Agudo Mï¿½ï¿½gi,"Styrx, utku INC, Thezth",0,0,0,0
Payphone,"Maroon 5, Wiz Khalifa",4,38,1,
All I Want for Christmas Is You,Mariah Carey,0,132,0,
Last Christmas,Wham!,0,111,0,
Rockin' Around The Christmas Tree,Brenda Lee,0,168,0,
Jingle Bell Rock,Bobby Helms,0,99,0,
