track_name,artists_name,in_spotify_playlists,in_apple_playlists,in_deezer_playlists
Lose Yourself - Soundtrack Version,Eminem,32502,247,"5,567"
Superman,"Eminem, Dina Rae",7615,18,"1,005"
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",1208,10,20
People Pt.2 (feat. IU),"IU, Agust D",209,4,11
REMIX EXCLUSIVO,Feid,1235,20,15
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",654,11,18
DOGTOOTH,"Tyler, The Creator",1479,23,18
10:35,"Tiï¿½ï¿½sto, Tate M",4942,190,147
SORRY NOT SORRY,"Tyler, The Creator",709,8,13
HAPPY,NF,660,22,11
La Bebe,Yng Lvcas,489,4,5
I Know - PR1SVX Edit,"Kanii, PR1ISVX",407,16,5
Late Night Talking,Harry Styles,7461,166,199
Leï¿½,Marï¿½ï¿½lia Mendo,993,30,88
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",9161,240,468
Something in the Orange,Zach Bryan,3282,67,46
VOID,Melanie Martinez,596,29,12
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",320,5,2
Midnight Rain,Taylor Swift,2612,19,21
If We Ever Broke Up,Mae Stephens,2040,81,66
You Proof,Morgan Wallen,2128,37,9
LA INOCENTE,"Feid, Mora",2598,28,43
Malas Decisiones,Kenia OS,542,23,21
Murder In My Mind,Kordhell,2459,20,50
Gangsta's Paradise,"Coolio, L.V.",10624,21,386
CAIRO,"Karol G, Ovy On The Drums",2418,52,55
I Love You So,The Walters,7536,44,135
Dark Red,Steve Lacy,10431,71,181
Say You Won't Let Go,James Arthur,15722,231,"1,509"
The Hills,The Weeknd,25744,122,"1,992"
Heart To Heart,Mac DeMarco,1640,27,29
Peaches (from The Super Mario Bros. Movie),Jack Black,34,0,0
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",1845,20,30
LOKERA,"Brray, Rauw Alejandro, Lyanno",3301,72,64
Low,SZA,1911,23,14
Numb,Linkin Park,20111,39,"7,341"
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",1529,32,39
on the street (with J. Cole),"j-hope, J. Cole",615,22,8
One Thing At A Time,Morgan Wallen,811,11,5
Miss You,"Robin Schulz, Oliver Tree",5730,108,197
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,356,4,0
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,604,22,0
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",1190,29,18
Everything I Love,Morgan Wallen,579,11,0
Heaven,Niall Horan,1553,61,48
LET GO,Central Cee,2301,49,110
Sial,Mahalini,134,4,0
I Wrote The Book,Morgan Wallen,430,15,0
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",86,11,0
SPIT IN MY FACE!,ThxSoMch,629,32,9
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",1701,30,34
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",329,14,1
Red Ruby Da Sleeze,Nicki Minaj,1168,45,20
Kahani Suno 2.0,Kaifi Khalil,162,1,1
Nobody Gets Me,SZA,2536,59,58
PERO Tï¿,"Karol G, Quevedo",387,11,14
Hype Boy,NewJeans,892,20,12
Bloody Mary,Lady Gaga,3909,66,277
Monotonï¿½,"Ozuna, Shakira",3645,118,150
ýýý98 Braves,Morgan Wallen,282,6,0
WANDA,Quevedo,888,11,7
Thought You Should Know,Morgan Wallen,968,16,1
In The End,Linkin Park,25065,63,"6,808"
Zona De Perigo,Leo Santana,531,20,71
Lovezinho,Treyce,242,12,13
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",5281,94,80
Neverita,Bad Bunny,2590,20,35
Vista Al Mar,Quevedo,1769,16,21
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",454,6,21
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",6180,122,580
Revenge,XXXTENTACION,3600,7,203
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",1254,26,73
LA CANCIï¿½,"J Balvin, Bad Bunny",6398,177,305
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",660,19,18
Love Again,The Kid Laroi,1283,57,48
After Hours,The Weeknd,8084,45,218
About Damn Time,Lizzo,2332,0,25
Born With A Beer In My Hand,Morgan Wallen,203,5,0
